date	type	title	description	photoURL	caption
813	C	The Great Caliph	Al-Ma'mun wins the civil war and becomes caliph. A well-educated caliph that sought reconciliation between Greek philosophy and theological questions like the problem of evil and the speech of God, he adopted the [Muʿtazila](https://en.wikipedia.org/wiki/Mu%CA%BFtazila), rationalist school of theology.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
827	R	The Mihna Of Qur'an Createdness	The caliph al-Ma’mun issued the proclamation of the doctrine of the createdness of the Qur'an. [The Mihna](https://en.wikipedia.org/wiki/Mihna), Arabic for tests, begins. Religious persecution lasts for 15 years. [Imam Ahmad ibn Hanbal](https://en.wikipedia.org/wiki/Ahmad_ibn_Hanbal) becomes a symbol of the orthodoxy and eventually triumphs.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
838	S	The Great Exegesis	[Al-Tabari](https://en.wikipedia.org/wiki/Al-Tabari) is born, an influential Persian scholar, historian and exegete of the Qur'an from Tabaristan (Iran). He writes two of the most influential books in all Islamic History: [Tafsir al-Tabari](https://en.wikipedia.org/wiki/Tafsir_al-Tabari), a Qur'anic commentary, and [Tarikh al-Tabari](https://en.wikipedia.org/wiki/History_of_the_Prophets_and_Kings), a historical chronicle.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
842	R	Musnad Imam Ahmad	[Imam Ahmad ibn Hanbal] (https://en.wikipedia.org/wiki/Ahmad_ibn_Hanbal) finishes his [Musnad](https://en.wikipedia.org/wiki/Musnad_Ahmad_ibn_Hanbal), the second great compilation of Hadith in Islamic history at the time.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
846	R	The Most Authentic Book Of Hadith	[Muhammad al-Bukhari](https://en.wikipedia.org/wiki/Muhammad_al-Bukhari) finishes his [Saheeh](https://en.wikipedia.org/wiki/Sahih_al-Bukhari), the most authentic book of six most authentic books of [Hadith](https://en.wikipedia.org/wiki/Kutub_al-Sittah).	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
872	S	The Second Teacher	[Al-Farabi](https://en.wikipedia.org/wiki/Al-Farabi) is born in Greater Khorasan (modern day Afghanistan). In Islamic philosophical tradition, he is often called "the Second Teacher", Aristotle being the first. His commentaries and treatises on Aristotle and Plato influenced many prominent philosophers like Ibn Sina [Avicenna].	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
912	C	The Greatest Caliph Of Andalus	[Abd al-Rahman III](https://en.wikipedia.org/wiki/Abd_al-Rahman_III) rise to power in Andalus. It's said that he was the greatest of the Umayyad rulers of Andalus. He's known for his quote: "I have now reigned above fifty years in victory or peace; beloved by my subjects, dreaded by my enemies, and respected by my allies. Riches and honors, power and pleasure, have waited on my call, nor does any earthly blessing appear to have been wanting to my felicity. In this situation, I have diligently numbered the days of pure and genuine happiness which have fallen to my lot: they amount to Fourteen: - O man! Place not thy confidence in this present world!"	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
915	S	The Most Eloquent Of The Arabs	[Al-Mutanabbi](https://en.wikipedia.org/wiki/Al-Mutanabbi) best Arabic poet of all time is born in Kufa. His most prolific work comes when he's patronised by [Sayf al-Dawla](https://en.wikipedia.org/wiki/Sayf_al-Dawla) Emir of Aleppo.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
969	C	A Shia Caliphate In Egypt	Ismaili [Fatimids] (https://en.wikipedia.org/wiki/Fatimid_Caliphate) conquer Egypt and start a great Caliphate of their own to rival the deteriorating Abbasid Caliphate. At this point, three Caliphates exist, Ummayad in Cordoba, spain, Abbasid in Baghdad, and Fatimids in Cairo.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
996	C	The Mad Caliph	[Al-Hakim bi-Amr Allah](https://en.wikipedia.org/wiki/Al-Hakim_bi-Amr_Allah), known in the west as the mad caliph, becomes the caliph of the Fatimids. He's the 16th Ismaili imam and an important figure to the Druze (today only in the Levant).	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
980	S	Ibn Sina, The Prominant Philosopher	[Ibn Sina](https://en.wikipedia.org/wiki/Avicenna), known in the west as Avicenna, is born in Bukhara. A polymath that got bored of medicine early in his life, he spent his time immersed in philosophy and as all his contemprories proving that philosophy and religion lead to the same conclusions and the ultimate oneness of God. He wrote the Cannon in medicine, the best book in medicine for at least a few hundred years. He contributed to astronomy, alchemy, geography and geology, psychology, Islamic theology, logic, mathematics, physics and works of poetry.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1031	C	The Ummayads In Exile Fall	Ummayad Caliphate in Andalus falls and disolves into Taifa kingdoms.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1040	C	Rise Of Al-Moravids	[Al-Moravids](https://en.wikipedia.org/wiki/Almoravid_dynasty) are the first the Berber Muslim Dynasty in West Africa. They've taken [Marrakech](https://en.wikipedia.org/wiki/Marrakesh) as their capital which was founded by their most prominent Sultan [Yusuf Ibn Tashfin](https://en.wikipedia.org/wiki/Yusuf_ibn_Tashfin) who at the time got legitimacy by getting the permission of Abbasid Caliph to rule west Africa.
1058	R	Al-Ghazali Reviivng The Religion And Attacking Philosophers	[Al-Ghazali](https://en.wikipedia.org/wiki/Al-Ghazali) is born in Tus, one of the most prominent thrologians and jurists in the history of Islam. Among many books, two books stand out. In the east, ["The Revival of the Religious Sciences"](https://en.wikipedia.org/wiki/The_Revival_of_the_Religious_Sciences) is considered the most notable of his work and is still studied in [Halaqs](https://en.wikipedia.org/wiki/Halaqa) to this day. In the west, ["The Incoherence of the Philosophers"](https://en.wikipedia.org/wiki/The_Incoherence_of_the_Philosophers) is the most well-known book, where he refutes many arguments of the great Philosopher Ibn Sina.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1064	C	The Persian Bureaucrat	[Nizam al-Mulk](https://en.wikipedia.org/wiki/Nizam_al-Mulk) becomes vizier of the [Seljuk Empire](https://en.wikipedia.org/wiki/Seljuk_Empire), he was the first person to start the madrasa system called [Nizamiyeh](https://en.wikipedia.org/wiki/Nezamiyeh), first well organized institutions of higher learning in the Muslim world, at the time. Nizam al-Mulk asks Al-Ghazali to lead it.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1071	C	A Muslim Anatolia	A decisive win for the Suljuks under [Alp Arselan](https://en.wikipedia.org/wiki/Alp_Arslan) over the [Byzantines](https://en.wikipedia.org/wiki/Byzantine_Greeks) in the battle of [Manzikert](https://en.wikipedia.org/wiki/Battle_of_Manzikert) is still celebrated to this day in Turkey.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1121	C	The Rise of Al-Mohad Caliphate	The Almohad movement was founded by Ibn Tumart among the Berber Masmuda tribes in the south of modern Morocco. Around 1120, the Almohads first established a Berber state in Tinmel in the Atlas Mountains.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1126	S	Ibn Rushd, The Polymath	[Ibn Rushd (Averroes)](https://en.wikipedia.org/wiki/Averroes) is born in Cordoba. A polymath and jurist who wrote about many subjects, including philosophy, medicine, astronomy. A strong proponent of Aristotelianism. Ibn Rushd defends philosophers and writes his infamous ["Incoherence of the Incoherence"](https://en.wikipedia.org/wiki/The_Incoherence_of_the_Incoherence) to reply to Al-Ghazali's arguments.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1174	C	Salah ad-Din	[Salah ad-Din](https://en.wikipedia.org/wiki/Saladin) rise through the ranks to become sunni vizier to the caliph of [Fatimids](https://en.wikipedia.org/wiki/Fatimid_Caliphate) abolishes the Ismaili Caliphate and brings Egypt's rule under the Abbasid Caliphate once age. He founds the [Ayyubid dynasty](https://en.wikipedia.org/wiki/Ayyubid_dynasty) which stretches from Iraq to Morocco.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1187	C	The Battle Of Hattin	The Muslim armies under Saladin free Jerusalem from the crusaders and bring the Holy Land under the Muslim control once again.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1250	C	Sultana Shajar Al-Durr	[As-Salih](https://en.wikipedia.org/wiki/As-Salih_Ayyub) dies during the [seventh crusades] (https://en.wikipedia.org/wiki/Seventh_Crusade). His wife [Shajar al-Durr](https://en.wikipedia.org/wiki/Shajar_al-Durr) becomes Sultana. She then marries [Aybek](https://en.wikipedia.org/wiki/Aybak) whom she kills. Later on, she's beaten to death with clogs by the bondmaids of Om Ali.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1250	C	Mamluks Sultanate	[Shajar al-Durr](https://en.wikipedia.org/wiki/Shajar_al-Durr) with her second husband [Aybek](https://en.wikipedia.org/wiki/Aybak) create the Mamluks Sultanate. A sultanate made up of slave warriors who become Sultans based on their merit and bringing the factions together rather than bloodline. The Sultanate is so effective that it destroys the crusades and the mongols once and for all.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1258	C	The Siege Of baghdad	(..)[https://en.wikipedia.org/wiki/Siege_of_Baghdad_(1258)]	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1260	C	Ain Jalut	Qutuz, mamluk Sultan of Egypt destroys the mongol army in [the battle of Ain Jalut](https://en.wikipedia.org/wiki/Battle_of_Ain_Jalut) in Palestine.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1260	C	Baibars	The Greatest Sultan [Baibars](https://en.wikipedia.org/wiki/Baibars) rise to power.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1263	R	Shaykh al-Islam Ibn Taymiyyah	[Ibn Taymiyyah](https://en.wikipedia.org/wiki/Ibn_Taymiyyah) is probably the most influential scholar of Islam since Al-Ghazali. A [Hanbali](https://en.wikipedia.org/wiki/Hanbali) jurist, muhaddith, and theologian, he's considered a [mujaddid](https://en.wikipedia.org/wiki/Mujaddid). He participated in rallying the troops in the battles against the mongols and was imprisoned seven times for contraversial [fatwas](https://en.wikipedia.org/wiki/Fatwa). He wrote treaties on almost every Islamic science from the attributes of Allah to "Averting the Conflict between Reason and (religious) Tradition" and [a refutation of the christian doctrine](https://en.wikipedia.org/wiki/Al-Jaw%C4%81b_al-%E1%B9%A2a%E1%B8%A5%C4%AB%E1%B8%A5_li-man_baddala_d%C4%ABn_al-Mas%C4%ABh) and fanaa' al-Nar (the end of hellfire) and politics (Al-Siyasah al-Shar’iyah).	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1280	S	Richest Man Ever	[Mansy Musa](https://en.wikipedia.org/wiki/Mansa_Musa)	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1349	S	Ibn Battuta Returns	[Ibn Battuta](https://en.wikipedia.org/wiki/Ibn_Battuta) returns to Morocco.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1332	S	Ibn Khaldun	The first sociologist and modern historian [Ibn Khaldun](https://en.wikipedia.org/wiki/Ibn_Khaldun)	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1453	C	The Prophet's Prophecy	[The Conquest Of Constantinople](https://en.wikipedia.org/wiki/Fall_of_Constantinople)	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1500	C	The Admiral Of The Mediterranean	[Khayreddin Barbarossa](https://en.wikipedia.org/wiki/Hayreddin_Barbarossa)...	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1501	C	A Shia Dynasty In Persia	The [Safavids](https://en.wikipedia.org/wiki/Safavid_dynasty) rise to power in Persia.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1517	C	The End Of Mamluks	The last Mamluk Sultan Tuman bay II was cast into prison, and shortly after, hanged as a malefactor at the City Gate.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1525	C	Mughal Empire	[The Mughul Empire](https://en.wikipedia.org/wiki/Mughal_Empire)	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1798	C	Napoleon In The Middle East	[The French Campaign](https://en.wikipedia.org/wiki/French_campaign_in_Egypt_and_Syria)	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1916	C	Slicing The Cake	[Sykes-Picot](https://en.wikipedia.org/wiki/Sykes%E2%80%93Picot_Agreement)	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1924	C	Atatürk Abolishes The Caliphate	The defeat of the Germans and the Ottomans in WWI had sever repurcussions...	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
1950s	C	The Rise Of Nationalism	Gamal Abd el-Naser, et al. Nationalism gained grounds during the 20th century in the orient.	https://upload.wikimedia.org/wikipedia/commons/7/79/Djemaa_el_Fna.jpg	test caption
